classification,xVariable,yVariable,xAxisLabel,yStart
Northern Ireland,20,18971,,
Northern Ireland,21,19208,,
Northern Ireland,22,19545,,
Northern Ireland,23,19769,,
Northern Ireland,24,19993,,
Northern Ireland,25,20218,,
Northern Ireland,26,20554,,
Northern Ireland,27,20778,,
Northern Ireland,28,21003,,
Northern Ireland,29,21339,,
Northern Ireland,30,21564,,
Northern Ireland,31,21788,,
Northern Ireland,32,22109,,
Northern Ireland,33,22323,,
Northern Ireland,34,22644,,
Northern Ireland,35,22858,,
Northern Ireland,36,23179,,
Northern Ireland,37,23393,,
Northern Ireland,38,23714,,
Northern Ireland,39,24035,,
Northern Ireland,40,24356,,
Northern Ireland,41,24677,,
Northern Ireland,42,24944,,
Northern Ireland,43,25211,,
Northern Ireland,44,25477,,
Northern Ireland,45,25744,,
Northern Ireland,46,26011,,
Northern Ireland,47,26278,,
Northern Ireland,48,26545,,
Northern Ireland,49,26811,,
Northern Ireland,50,27167,,
Northern Ireland,51,27434,,
Northern Ireland,52,27725,,
Northern Ireland,53,28114,,
Northern Ireland,54,28502,,
Northern Ireland,55,28793,,
Northern Ireland,56,29182,,
Northern Ireland,57,29667,,
Northern Ireland,58,30056,,
Northern Ireland,59,30444,,
Northern Ireland,60,30833,,
Northern Ireland,61,31221,,
Northern Ireland,62,31587,,
Northern Ireland,63,32044,,
Northern Ireland,64,32410,,
Northern Ireland,65,32867,,
Northern Ireland,66,33325,,
Northern Ireland,67,33782,,
Northern Ireland,68,34331,,
Northern Ireland,69,34880,,
Northern Ireland,70,35337,,
Northern Ireland,71,35886,,
Northern Ireland,72,36280,,
Northern Ireland,73,36739,,
Northern Ireland,74,37132,,
Northern Ireland,75,37591,,
Northern Ireland,76,38116,,
Northern Ireland,77,38575,,
Northern Ireland,78,39100,,
Northern Ireland,79,39625,,
Northern Ireland,80,40215,,
Northern Ireland,81,40740,,
Northern Ireland,82,41420,,
Northern Ireland,83,42101,,
Northern Ireland,84,42713,,
Northern Ireland,85,43257,,
Northern Ireland,86,44073,,
Northern Ireland,87,44958,,
Northern Ireland,88,46046,,
Northern Ireland,89,47271,,
Northern Ireland,90,48495,,
Northern Ireland,91,49992,,
