xVariable,yVariable,marginalTaxRate,classification,xAxisLabel,yStart,countA,,,
239000,146450,0.45,1920,,,1,,,
239500,146725,0.45,1920,,,1,,,
240000,147000,0.45,1920,,,1,,,
240500,147275,0.45,1920,,,1,,,
241000,147550,0.45,1920,,,1,,,
241500,147825,0.45,1920,,,1,,,
242000,148100,0.45,1920,,,1,,,
242500,148375,0.45,1920,,,1,,,
243000,148650,0.45,1920,,,1,,,
243500,148925,0.45,1920,,,1,,,
244000,149200,0.45,1920,,,1,,,
244500,149475,0.45,1920,,,1,,,
245000,149750,0.45,1920,,,1,,,
245500,150025,0.45,1920,,,1,,,
246000,150300,0.45,1920,,,1,,,
246500,150575,0.45,1920,,,1,,,
247000,150850,0.45,1920,,,1,,,
247500,151125,0.45,1920,,,1,,,
248000,151400,0.45,1920,,,1,,,
248500,151675,0.45,1920,,,1,,,
249000,151950,0.45,1920,,,1,,,
249500,152225,0.45,1920,,,1,,,
250000,152500,0.45,1920,,,1,,,
0,0,0,0910,,,1,,,
500,500,0,0910,,,1,,,
1000,1000,0,0910,,,1,,,
1500,1500,0,0910,,,1,,,
2000,2000,0,0910,,,1,,,
2500,2500,0,0910,,,1,,,
3000,3000,0,0910,,,1,,,
3500,3500,0,0910,,,1,,,
4000,4000,0,0910,,,1,,,
4500,4500,0,0910,,,1,,,
5000,5000,0,0910,,,1,,,
5500,5500,0,0910,,,1,,,
6000,6000,0,0910,,,1,,,
6475,6475,0,0910,,,1,,,
6475,6475,0.2,0910,,,2,,,
6500,6495,0.2,0910,,,1,,,
7000,6895,0.2,0910,,,1,,,
7500,7295,0.2,0910,,,1,,,
8000,7695,0.2,0910,,,1,,,
8500,8095,0.2,0910,,,1,,,
9000,8495,0.2,0910,,,1,,,
9500,8895,0.2,0910,,,1,,,
10000,9295,0.2,0910,,,1,,,
10500,9695,0.2,0910,,,1,,,
11000,10095,0.2,0910,,,1,,,
11500,10495,0.2,0910,,,1,,,
12000,10895,0.2,0910,,,1,,,
12500,11295,0.2,0910,,,1,,,
13000,11695,0.2,0910,,,1,,,
13500,12095,0.2,0910,,,1,,,
14000,12495,0.2,0910,,,1,,,
14500,12895,0.2,0910,,,1,,,
15000,13295,0.2,0910,,,1,,,
15500,13695,0.2,0910,,,1,,,
16000,14095,0.2,0910,,,1,,,
16500,14495,0.2,0910,,,1,,,
17000,14895,0.2,0910,,,1,,,
17500,15295,0.2,0910,,,1,,,
18000,15695,0.2,0910,,,1,,,
18500,16095,0.2,0910,,,1,,,
19000,16495,0.2,0910,,,1,,,
19500,16895,0.2,0910,,,1,,,
20000,17295,0.2,0910,,,1,,,
20500,17695,0.2,0910,,,1,,,
