xVariable,yVariable,classification,xAxisLabel,yStart,marginalTaxRate,countA
232500,142875,PlotData,,,0.45,1
233000,143150,PlotData,,,0.45,1
233500,143425,PlotData,,,0.45,1
234000,143700,PlotData,,,0.45,1
234500,143975,PlotData,,,0.45,1
235000,144250,PlotData,,,0.45,1
235500,144525,PlotData,,,0.45,1
236000,144800,PlotData,,,0.45,1
236500,145075,PlotData,,,0.45,1
237000,145350,PlotData,,,0.45,1
237500,145625,PlotData,,,0.45,1
238000,145900,PlotData,,,0.45,1
238500,146175,PlotData,,,0.45,1
239000,146450,PlotData,,,0.45,1
239500,146725,PlotData,,,0.45,1
240000,147000,PlotData,,,0.45,1
240500,147275,PlotData,,,0.45,1
241000,147550,PlotData,,,0.45,1
241500,147825,PlotData,,,0.45,1
242000,148100,PlotData,,,0.45,1
242500,148375,PlotData,,,0.45,1
243000,148650,PlotData,,,0.45,1
243500,148925,PlotData,,,0.45,1
244000,149200,PlotData,,,0.45,1
244500,149475,PlotData,,,0.45,1
245000,149750,PlotData,,,0.45,1
245500,150025,PlotData,,,0.45,1
246000,150300,PlotData,,,0.45,1
246500,150575,PlotData,,,0.45,1
247000,150850,PlotData,,,0.45,1
247500,151125,PlotData,,,0.45,1
248000,151400,PlotData,,,0.45,1
248500,151675,PlotData,,,0.45,1
249000,151950,PlotData,,,0.45,1
249500,152225,PlotData,,,0.45,1
250000,152500,PlotData,,,0.45,1
0,0,Labour,,,0,1
500,500,Labour,,,0,1
1000,1000,Labour,,,0,1
1500,1500,Labour,,,0,1
2000,2000,Labour,,,0,1
2500,2500,Labour,,,0,1
3000,3000,Labour,,,0,1
3500,3500,Labour,,,0,1
4000,4000,Labour,,,0,1
4500,4500,Labour,,,0,1
5000,5000,Labour,,,0,1
5500,5500,Labour,,,0,1
6000,6000,Labour,,,0,1
6500,6500,Labour,,,0,1
7000,7000,Labour,,,0,1
7500,7500,Labour,,,0,1
8000,8000,Labour,,,0,1
8500,8500,Labour,,,0,1
